Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,overlap_num,overlap_den,overlap_frac
Betacoronavirus England 1 ORF1a protein (gene: orf1ab),6/95,4.31078846999377e-05,0.0131577020800037,9.42655145326002,94.7538536173976,FGB;HSPA8;UBB;UBC;MYH9;B2M,6.0,95.0,0.06315789473684211
Human betacoronavirus 2c England-Qatar/2012 ORF1a,6/95,4.31078846999377e-05,0.0125856280765253,9.42655145326002,94.7538536173976,FGB;HSPA8;UBB;UBC;MYH9;B2M,6.0,95.0,0.06315789473684211
Influenza A virus (A/California/04/2009(H1N1)) matrix protein 2 (gene: M2),2020-04-30 00:00:00,4.61180090359656e-05,0.0129034346115212,19.9004975124378,198.692677267796,UBC;APOE;ACTB;ACTG1,,,
Molluscum contagiosum virus subtype 1 MC049L (gene: MC049L),5/62,5.96685831537037e-05,0.0160269814350848,12.0365912373616,117.076371225481,HSP90AB1;UBB;UBC;RPS27A;B2M,5.0,62.0,0.08064516129032258
Human betaherpesvirus 5 membrane glycoprotein UL18 (gene: UL18),9/259,6.3631703152428e-05,0.0164341110257136,5.18642309687086,50.1132879681873,RPL4;HSPA8;HSP90AB1;UBC;RACK1;B2M;ACTB;ACTG1;RPL19,9.0,259.0,0.03474903474903475
Human immunodeficiency virus envelope glycoprotein (gene: env),9/260,6.55442371425491e-05,0.0163010945337858,5.16647531572905,49.7675473040089,FGB;UBB;UBC;ALB;FGG;RPL13;B2M;ACTB;ACTG1,9.0,260.0,0.03461538461538462
Wesselsbron virus full_polyprotein 1..3405,6/103,6.78879987786562e-05,0.0162809968499527,8.69439211708448,83.4457436965212,HSPA8;HSP90AB1;AMBP;UBC;RPL13;B2M,6.0,103.0,0.05825242718446602
Dengue virus 2 membrane glycoprotein precursor M (gene: flavivirus polyprotein),4/34,7.644028233284e-05,0.0176998791677593,17.5592625109745,166.444262424526,HSPA8;UBC;APOE;ACTB,4.0,34.0,0.11764705882352941
Human alphaherpesvirus 2 large tegument protein (gene: UL36),6/107,8.39534709613537e-05,0.018791585250183,8.36936811270749,78.5485939158862,HSPA8;FGA;UBB;UBC;RPL13;RPS27A,6.0,107.0,0.056074766355140186
SARS coronavirus nsp7-pp1a/pp1ab (gene: orf1ab),4/36,9.60898831015932e-05,0.0208143085492645,16.5837479270315,153.403424912555,HSPA8;UBB;UBC;B2M,4.0,36.0,0.1111111111111111
West Nile virus lineage 2 excised_polyprotein 1..791 (gene: flavivirus polyprotein),6/110,9.78813611745506e-05,0.0205397918839721,8.14111261872456,75.156752344004,HSPA8;HSP90AB1;UBC;RPL13;B2M;ACTB,6.0,110.0,0.05454545454545454
Human parainfluenza virus 2 P protein (gene: V),4/38,0.0001191703596089,0.024249362568907,15.7109190887667,141.947470467451,FGB;HSPA8;UBC;ALB,4.0,38.0,0.10526315789473684
Coxsackievirus A17 VP4,2020-03-15 00:00:00,0.0001261456631972,0.0249137684814505,29.8507462686567,268.002186913776,UBC;B2M;ACTB,,,
Echovirus E17 VP4,2020-03-15 00:00:00,0.0001261456631972,0.0242019465248376,29.8507462686567,268.002186913776,UBC;B2M;ACTB,,,
Echovirus E21 VP4,2020-03-15 00:00:00,0.0001261456631972,0.023529670232481,29.8507462686567,268.002186913776,UBC;B2M;ACTB,,,
Orf virus ORF035 virion core protease,4/40,0.0001460232632678,0.0265012489957817,14.9253731343284,131.817083753693,UBB;UBC;RPS27A;B2M,4.0,40.0,0.1
Monkeypox virus Zaire-96-I-16 A27L (gene: A27L),2020-03-16 00:00:00,0.0001544963176784,0.0273011256108105,27.9850746268657,245.5785530515,FGB;FGG;RPL13,,,
Enterovirus B97 VP4,2020-03-16 00:00:00,0.0001544963176784,0.0266010967489948,27.9850746268657,245.5785530515,UBC;B2M;ACTB,,,
Human enterovirus C104 VP4,2020-03-16 00:00:00,0.0001544963176784,0.0259360693302699,27.9850746268657,245.5785530515,UBC;B2M;ACTB,,,
Human enterovirus C117 VP4,2020-03-16 00:00:00,0.0001544963176784,0.0253034822734341,27.9850746268657,245.5785530515,UBC;B2M;ACTB,,,
Human alphaherpesvirus 1 tegument protein VP22 (gene: UL49),6/121,0.0001654094230152,0.0264458160844677,7.40101147156778,64.4412493345919,HSPA8;UBB;UBC;RPS27A;ACTB;ACTG1,6.0,121.0,0.049586776859504134
Papiine alphaherpesvirus 2 ribonucleotide reductase subunit 2 (gene: UL40),4/42,0.0001769991826767,0.0276406863180012,14.2146410803127,122.805478934568,HSPA8;FTH1;UBC;ALB,4.0,42.0,0.09523809523809523
Echovirus 9 strain Barty VP4,2020-03-17 00:00:00,0.0001866847160995,0.0284906333774613,26.3388937664618,226.148095896068,UBC;B2M;ACTB,,,
Echovirus E14 VP4,2020-03-17 00:00:00,0.0001866847160995,0.0278575081912955,26.3388937664618,226.148095896068,UBC;B2M;ACTB,,,
Echovirus E20 VP4,2020-03-17 00:00:00,0.0001866847160995,0.0272519101871369,26.3388937664618,226.148095896068,UBC;B2M;ACTB,,,
Echovirus E29 VP4,2020-03-17 00:00:00,0.0001866847160995,0.0266720823108148,26.3388937664618,226.148095896068,UBC;B2M;ACTB,,,
Middle East respiratory syndrome-related coronavirus nsp7 protein (gene: orf1ab),4/44,0.0002124568946177,0.0297218343199596,13.5685210312076,114.745881126651,FGB;HSPA8;UBB;UBC,4.0,44.0,0.09090909090909091
Molluscum contagiosum virus subtype 1 MC098R (gene: MC098R),4/44,0.0002124568946177,0.0291152662726135,13.5685210312076,114.745881126651,HSP90AB1;UBC;MYH9;B2M,4.0,44.0,0.09090909090909091
Echovirus E12 polyprotein region 2,2020-03-18 00:00:00,0.0002229257989737,0.0299389348021703,24.8756218905473,209.170934873198,UBC;B2M;ACTB,,,
Louping ill virus envelope protein,5/82,0.0002260754726297,0.0297666038962518,9.10083727702949,76.3982677898759,HSPA8;HSP90AB1;UBC;RPL13;B2M,5.0,82.0,0.06097560975609756
Human respirovirus 3 phosphoprotein,5/82,0.0002260754726297,0.0291941692059392,9.10083727702949,76.3982677898759,FGB;HSPA8;MT-CO1;FTH1;UBC,5.0,82.0,0.06097560975609756
Echovirus E19 VP4,2020-03-19 00:00:00,0.0002634297727696,0.033376055172604,23.56637863315,194.22758230577,UBC;B2M;ACTB,,,
Echovirus E24 VP4,2020-03-19 00:00:00,0.0002634297727696,0.032757980076815,23.56637863315,194.22758230577,UBC;B2M;ACTB,,,
Echovirus E33 VP4,2020-03-19 00:00:00,0.0002634297727696,0.0321623804390548,23.56637863315,194.22758230577,UBC;B2M;ACTB,,,
Echovirus E6 VP4,2020-03-19 00:00:00,0.0002634297727696,0.0315880522169288,23.56637863315,194.22758230577,UBC;B2M;ACTB,,,
Enterovirus B 1A(VP4),2020-03-19 00:00:00,0.0002634297727696,0.0310338758622458,23.56637863315,194.22758230577,UBC;B2M;ACTB,,,
SARS coronavirus 3C-like proteinase (gene: orf1ab),2020-03-19 00:00:00,0.0002634297727696,0.0304988090370347,23.56637863315,194.22758230577,UBB;UBC;PABPC1,,,
Kyasanur Forest disease virus E,4/47,0.0002748495931461,0.0312816104741794,12.702445220705,104.150988173192,HSPA8;HSP90AB1;RPL13;B2M,4.0,47.0,0.0851063829787234
Human betacoronavirus 2c EMC/2012 ORF1ab (gene: orf1ab),4/47,0.0002748495931461,0.0307602502996098,12.702445220705,104.150988173192,FGB;HSPA8;UBB;UBC,4.0,47.0,0.0851063829787234
Hepatitis C virus subtype 3i full_polyprotein 1..3021,4/49,0.000323127878764,0.0355705525557519,12.1839780688395,97.9282656546665,HSPA8;HSP90AB1;PABPC1;B2M,4.0,49.0,0.08163265306122448
Alkhumra hemorrhagic fever virus envelope protein,4/51,0.0003771966339378,0.0408528289821408,11.7061750073164,92.2767799948196,HSPA8;HSP90AB1;RPL13;B2M,4.0,51.0,0.0784313725490196
Powassan virus envelope protein,4/51,0.0003771966339378,0.0402043713792497,11.7061750073164,92.2767799948196,HSPA8;HSP90AB1;RPL13;B2M,4.0,51.0,0.0784313725490196
Saint Louis encephalitis virus full_polyprotein 1..3430,5/92,0.0003862835091729,0.0405295900640019,8.11161583387411,63.7486938544379,HSPA8;HSP90AB1;AMBP;UBC;B2M,5.0,92.0,0.05434782608695652
Ectromelia virus ERPV hemagglutinin,8/262,0.0003922375120433,0.0405211522057142,4.55736584254301,35.7463507056445,UBB;UBC;MYH9;RPL13;MT-CO2;MT-CO3;RPS27A;B2M,8.0,262.0,0.030534351145038167
Influenza B virus (B/Memphis/12/97) HA protein,5/93,0.00040605978096,0.0413135065022261,8.02439415824105,62.6625755533446,FGA;HSPA8;FTH1;UBC;ACTB,5.0,93.0,0.053763440860215055
Variola virus serine protease inhibitor-like protein (gene: C2L),4/52,0.0004065228793369,0.0407433005186211,11.4810562571757,89.6425987006722,HSPA8;HSP90AB1;UBC;B2M,4.0,52.0,0.07692307692307693
Hendra henipavirus phosphoprotein P (gene: P/V/C),10/405,0.0004072600443271,0.0402169293773049,3.68527731711811,28.7674908678812,FGB;HSPA8;FGA;FTH1;UBC;APOA1;RPL13;PABPC1;ACTB;S100A8,10.0,405.0,0.024691358024691357
Dengue virus 2 membrane glycoprotein M (gene: flavivirus polyprotein),2020-03-22 00:00:00,0.0004125514290622,0.0401490267558394,20.3527815468114,158.612273068789,HSPA8;UBC;ACTB,,,
Dengue virus 1 envelope protein E (gene: flavivirus polyprotein),4/53,0.0004374418049759,0.0419631674344765,11.2644325542101,87.1255069356469,HSPA8;HSP90AB1;UBC;B2M,4.0,53.0,0.07547169811320754
Human parechovirus 3 full_polyprotein 1..2177,4/54,0.0004700022835101,0.0444516244193071,11.0558319513543,84.7183306217766,HSPA8;FTH1;UBC;B2M,4.0,54.0,0.07407407407407407
Echovirus E25 VP4,2020-03-23 00:00:00,0.0004721165692372,0.0440314272559432,19.4678780012979,149.090550956799,UBC;B2M;ACTB,,,
Salivirus NG-J1 3D,4/56,0.0005402444317109,0.0496950871087545,10.6609808102345,80.2077704638067,FGG;RPL13;ACTB;ACTG1,4.0,56.0,0.07142857142857142
Ilheus virus full_polyprotein 1..3424,5/100,0.0005666863146461,0.0514229540925486,7.46268656716418,55.7888406289871,HSPA8;HSP90AB1;AMBP;UBC;B2M,5.0,100.0,0.05
Monkeypox virus double-stranded RNA binding protein,5/100,0.0005666863146461,0.0507373147046479,7.46268656716418,55.7888406289871,HSPA8;HSP90AB1;UBC;RPS3;B2M,5.0,100.0,0.05
Monkeypox virus Zaire-96-I-16 double-strand RNA-binding protein (gene: F3L),5/100,0.0005666863146461,0.0500697184585342,7.46268656716418,55.7888406289871,HSPA8;HSP90AB1;UBC;RPS3;B2M,5.0,100.0,0.05
Human alphaherpesvirus 1 large tegument protein (gene: UL36),5/100,0.0005666863146461,0.0494194623746571,7.46268656716418,55.7888406289871,HSPA8;UBB;UBC;RPL13;RPS27A,5.0,100.0,0.05
Yellow fever virus anchored core protein C,2020-03-25 00:00:00,0.000607165333041,0.0522707078380888,17.910447761194,132.657482268534,HSPA8;UBC;B2M,,,
Adult diarrheal rotavirus strain J19 NSP1,5/102,0.0006202882129813,0.052724498103418,7.31635937957272,54.033701553201,HSPA8;HSP90AB1;UBC;APOE;B2M,5.0,102.0,0.049019607843137254
Orf virus ORF020 dsRNA-binding PKR inhibitor,5/102,0.0006202882129813,0.0520654418771253,7.31635937957272,54.033701553201,EEF1A1;HSPA8;HSP90AB1;UBC;B2M,5.0,102.0,0.049019607843137254
Human parainfluenza virus 1 strain Washington/1964 phosphoprotein (gene: P),5/102,0.0006202882129813,0.0514226586440743,7.31635937957272,54.033701553201,FGB;HSPA8;MT-CO1;FTH1;UBC,5.0,102.0,0.049019607843137254
Human respirovirus 1 phosphoprotein (gene: P),5/102,0.0006202882129813,0.0507955530508539,7.31635937957272,54.033701553201,FGB;HSPA8;MT-CO1;FTH1;UBC,5.0,102.0,0.049019607843137254
SARS coronavirus endoRNAse (gene: orf1ab),2020-02-06 00:00:00,0.0006566634216864,0.0531264442966847,49.7512437810945,364.59397843317,UBB;UBC,,,
Human rhinovirus A49 2C,2020-03-26 00:00:00,0.00068301089078,0.054600215852236,17.2215843857635,125.528124334365,HSPA8;FTH1;UBC,,,
Reston ebolavirus spike glycoprotein (gene: GP),6/158,0.0006906975194631,0.0545651040375865,5.66786321556773,41.2496235020597,HSPA8;HSP90AB1;FTH1;UBC;RPL23A;B2M,6.0,158.0,0.0379746835443038
Lujo mammarenavirus large RNA-dependent RNA polymerase,4/60,0.0007025989206646,0.054859904096083,9.9502487562189,72.2460134759749,HSPA8;HSP90AB1;UBC;RPL23A,4.0,60.0,0.06666666666666667
Lake Victoria marburgvirus - Angola2005 glycoprotein (gene: GP),5/105,0.0007077058109056,0.0546235002325469,7.10732054015636,51.5528221175773,HSPA8;UBC;FGG;RPL23A;B2M,5.0,105.0,0.047619047619047616
Dengue virus 4 membrane glycoprotein M (gene: flavivirus polyprotein),2020-03-27 00:00:00,0.0007646380779493,0.0583470987889797,16.5837479270315,119.006765121143,HSPA8;UBC;ACTB,,,
Variola virus hypothetical protein (gene: A28L),6/162,0.0007871193539522,0.0593877130538101,5.52791597567717,39.50873777878,FGB;HSPA8;FGA;FTH1;UBC;ACTB,6.0,162.0,0.037037037037037035
SARS coronavirus Tor2 replicase 1AB,5/108,0.0008040273197385,0.0599893716893841,6.90989496959646,49.2390637754854,UBB;UBC;FAU;RPS27A;B2M,5.0,108.0,0.046296296296296294
SARS coronavirus P2 full_polyprotein 1..7073,5/109,0.0008382091342277,0.0618524652344949,6.8465014377653,48.5022793721788,UBB;UBC;FAU;RPS27A;B2M,5.0,109.0,0.045871559633027525
Dengue virus 3 envelope protein E (gene: flavivirus polyprotein),4/63,0.0008450701892791,0.0616809382718389,9.47642738687515,67.05606131079,HSPA8;HSP90AB1;UBC;B2M,4.0,63.0,0.06349206349206349
Cercopithecine alphaherpesvirus 2 tegument protein VP22 (gene: UL49),4/64,0.0008967713736687,0.0647507502600605,9.32835820895522,65.4543806646058,HSPA8;UBB;UBC;RPS27A,4.0,64.0,0.0625
Yellow fever virus core protein C,2020-03-29 00:00:00,0.0009459147702265,0.0675725285326734,15.4400411734431,107.514535582127,HSPA8;UBC;B2M,,,
Yellow fever virus envelope protein,2020-03-29 00:00:00,0.0009459147702265,0.0668612387586453,15.4400411734431,107.514535582127,HSPA8;HSP90AB1;B2M,,,
Mumps virus strain Jeryl Lynn phosphoprotein (gene: P),5/113,0.0009858676890892,0.0689593909607765,6.60414740457007,45.7138317390733,FGB;HSPA8;FTH1;UBC;B2M,5.0,113.0,0.04424778761061947
Betacoronavirus England 1 NS3B protein (gene: ns3b),4/67,0.0010652095842229,0.0737410552377007,8.91067052795723,60.9898303095059,HSPA8;HSP90AB1;UBC;B2M,4.0,67.0,0.05970149253731343
Parainfluenza virus 5 phosphoprotein (gene: V/P),4/67,0.0010652095842229,0.0729885954903772,8.91067052795723,60.9898303095059,FGB;HSPA8;UBC;ALB,4.0,67.0,0.05970149253731343
Human betacoronavirus 2c England-Qatar/2012 ORF4a,4/67,0.0010652095842229,0.0722513369500704,8.91067052795723,60.9898303095059,HSPA8;HSP90AB1;UBC;B2M,4.0,67.0,0.05970149253731343
West Nile virus lineage 2 envelope protein E (gene: flavivirus polyprotein),4/67,0.0010652095842229,0.0715288235805696,8.91067052795723,60.9898303095059,HSPA8;HSP90AB1;RPL13;B2M,4.0,67.0,0.05970149253731343
Human alphaherpesvirus 2 tegument protein VP22 (gene: UL49),5/116,0.0011086846754289,0.0737110653020308,6.43335048893464,43.7762541391499,UBB;UBC;RPS27A;ACTB;ACTG1,5.0,116.0,0.04310344827586207
Enterovirus B genome polyportein,5/118,0.00119663476084,0.078778455088639,6.32431065013913,42.5514927128518,C3;UBC;B2M;ACTB;CFB,5.0,118.0,0.0423728813559322
SARS coronavirus nsp3-pp1a/pp1ab (gene: orf1ab),5/118,0.00119663476084,0.0780136157188464,6.32431065013913,42.5514927128518,UBB;UBC;MYH9;FAU;RPS27A,5.0,118.0,0.0423728813559322
Monkeypox virus unknown protein,5/119,0.001242496806779,0.0802246736300141,6.27116518249091,41.95806076755,HSPA8;UBC;MYH9;B2M;GAPDH,5.0,119.0,0.04201680672268908
Enterovirus B73 full_polyprotein 1..2188,5/119,0.001242496806779,0.079460629119252,6.27116518249091,41.95806076755,UBC;B2M;GAPDH;ACTB;CFB,5.0,119.0,0.04201680672268908
Dengue virus 4 nonstructural protein NS3 (gene: flavivirus polyprotein),3/32,0.0012653188380395,0.080156754692789,13.9925373134328,93.3642417352585,AMBP;UBC;GAPDH,3.0,32.0,0.09375
Hepatitis C virus subtype 3g full_polyprotein 1..3022,4/71,0.0013227809492957,0.0830137763973917,8.40866092074837,55.7327641687011,HSPA8;UBC;ALB;B2M,4.0,71.0,0.056338028169014086
West Nile virus SA93/01 envelope protein,4/71,0.0013227809492957,0.082245130319638,8.40866092074837,55.7327641687011,HSPA8;HSP90AB1;UBC;B2M,4.0,71.0,0.056338028169014086
West Nile virus SPU116/89 envelope protein,4/71,0.0013227809492957,0.0814905878396414,8.40866092074837,55.7327641687011,HSPA8;HSP90AB1;UBC;B2M,4.0,71.0,0.056338028169014086
Dengue virus 4 membrane glycoprotein precursor M (gene: flavivirus polyprotein),3/33,0.0013850715282426,0.0845523210195403,13.5685210312076,89.3080528593737,HSPA8;UBC;ACTB,3.0,33.0,0.09090909090909091
Human adenovirus 67 E4 ORF1,3/33,0.0013850715282426,0.0837905883977427,13.5685210312076,89.3080528593737,HSP90AB1;UBC;B2M,3.0,33.0,0.09090909090909091
Macacine alphaherpesvirus 1 tegument protein VP22 (gene: UL49),4/72,0.0013933982204692,0.0835416879504561,8.29187396351575,54.5274440504406,HSPA8;UBB;UBC;RPS27A,4.0,72.0,0.05555555555555555
West Nile virus lineage 1 envelope protein E (gene: flavivirus polyprotein),4/72,0.0013933982204692,0.0828023809774432,8.29187396351575,54.5274440504406,HSPA8;HSP90AB1;UBC;B2M,4.0,72.0,0.05555555555555555
Human polyomavirus 6 large T antigen,4/72,0.0013933982204692,0.0820760443022025,8.29187396351575,54.5274440504406,HSPA8;UBC;ALB;B2M,4.0,72.0,0.05555555555555555
Variola virus double-strand RNA-binding protein (gene: E3L),4/73,0.0014666051274995,0.0856369863579085,8.17828664894705,53.3617255050448,EEF1A1;HSPA8;UBC;B2M,4.0,73.0,0.0547945205479452
Dengue virus 1 nonstructural protein NS3 (gene: flavivirus polyprotein),3/34,0.0015117138908895,0.087509989459682,13.1694468832309,85.529120870049,AMBP;UBC;B2M,3.0,34.0,0.08823529411764706
Human alphaherpesvirus 1 envelope glycoprotein E (gene: US8),3/34,0.0015117138908895,0.0867620408318215,13.1694468832309,85.529120870049,HSP90AB1;UBC;B2M,3.0,34.0,0.08823529411764706
West Nile virus SA381/00 envelope protein,4/74,0.0015424514367866,0.0877759440510371,8.06776926179911,52.2338223971358,HSPA8;HSP90AB1;UBC;B2M,4.0,74.0,0.05405405405405406
Human immunodeficiency virus 1 Gag-Pol (gene: gag-pol),5/125,0.0015454773112586,0.0872090768495969,5.97014925373134,38.6413282210051,HSPA8;HSP90AB1;UBC;B2M;ACTB,5.0,125.0,0.04
SARS coronavirus RNA-dependent RNA polymerase (gene: orf1ab),2020-02-09 00:00:00,0.0015553402301089,0.0870342470431803,33.167495854063,214.463050075818,UBB;UBC,,,
Human betaherpesvirus 5 membrane protein US20 (gene: US20),2020-02-09 00:00:00,0.0015553402301089,0.0863149557453028,33.167495854063,214.463050075818,HSPA8;UBC,,,
Vaccinia virus hypothetical protein (gene: A49R),2020-02-09 00:00:00,0.0015553402301089,0.0856074561080462,33.167495854063,214.463050075818,HSPA8;UBC,,,
"Ebola virus - Mayinga, Zaire, 1976 virion spike glycoprotein precursor (gene: GP)",5/126,0.0016008166430313,0.0873941768939484,5.92276711679697,38.1262815568144,HSPA8;HSP90AB1;UBB;FTH1;UBC,5.0,126.0,0.03968253968253968
Zaire ebolavirus spike glycoprotein (gene: GP),5/126,0.0016008166430313,0.0866893851448037,5.92276711679697,38.1262815568144,HSPA8;HSP90AB1;UBB;FTH1;UBC,5.0,126.0,0.03968253968253968
Influenza B virus nonstructural protein 1 (gene: NS1),4/75,0.0016209867994724,0.0870794108676611,7.96019900497513,51.142051181761,HSPA8;UBB;UBC;RPS27A,4.0,75.0,0.05333333333333334
Influenza B virus (B/Memphis/12/97) NS protein,4/75,0.0016209867994724,0.0863883044322034,7.96019900497513,51.142051181761,HSPA8;UBB;UBC;RPS27A,4.0,75.0,0.05333333333333334
Influenza A virus (A/New York/392/2004(H3N2)) matrix protein 1 (gene: M1),3/35,0.0016453886061192,0.0869983030715781,12.7931769722814,82.0014331079861,HSPA8;RPL13;B2M,3.0,35.0,0.08571428571428572
Human papillomavirus 149 E1 (gene: E1),3/35,0.0016453886061192,0.0863186288288314,12.7931769722814,82.0014331079861,HSPA8;UBC;S100A8,3.0,35.0,0.08571428571428572
Murray Valley encephalitis virus envelope protein E,4/76,0.001702260737794,0.0886099291029977,7.85545954438335,50.0848237676395,HSPA8;HSP90AB1;RPL13;B2M,4.0,76.0,0.05263157894736842
"Human betaherpesvirus 6 U31, large tegument protein (gene: U31)",4/76,0.001702260737794,0.0879283142637439,7.85545954438335,50.0848237676395,UBB;UBC;FAU;RPS27A,4.0,76.0,0.05263157894736842
Human betaherpesvirus 6A large tegument protein (gene: U31),4/76,0.001702260737794,0.0872571057579138,7.85545954438335,50.0848237676395,UBB;UBC;FAU;RPS27A,4.0,76.0,0.05263157894736842
Human T-lymphotropic virus 2 Gag-Pro-Pol,5/128,0.0017158482065078,0.087287278081062,5.83022388059702,37.1259779592759,HSPA8;HSP90AB1;UBC;B2M;RPL6,5.0,128.0,0.0390625
Cercopithecine betaherpesvirus 5 regulatory protein IE2 (gene: UL122),3/36,0.0017862346154727,0.0901847025781917,12.4378109452736,78.702057730208,HSPA8;FTH1;UBC,3.0,36.0,0.08333333333333333
Horsepox virus HSPV099 (RNAP subunits),3/36,0.0017862346154727,0.0895116824096978,12.4378109452736,78.702057730208,HSPA8;HSP90AB1;UBC,3.0,36.0,0.08333333333333333
Human coronavirus OC43 nsp4 (gene: orf1ab),3/36,0.0017862346154727,0.0888486329103667,12.4378109452736,78.702057730208,HSPA8;UBC;B2M,3.0,36.0,0.08333333333333333
Zika virus envelope protein E (gene: flavivirus polyprotein),3/36,0.0017862346154727,0.0881953341389669,12.4378109452736,78.702057730208,HSPA8;HSP90AB1;B2M,3.0,36.0,0.08333333333333333
